Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
10.0,2,2,0.0005714893341064453,0.69921875,0.0,1.0,1.0,1.0,1.0
10.0,2,3,0.00037598609924316406,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,4,0.0003180503845214844,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,5,0.0003478527069091797,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,6,0.0003407001495361328,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,7,0.00032401084899902344,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,8,0.00034332275390625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,9,0.00032138824462890625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,10,0.00031566619873046875,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,2,0.0003516674041748047,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,3,0.0003478527069091797,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,4,0.0003304481506347656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,5,0.0007739067077636719,0.0,90.6,1.0,1.0,1.0,1.0
10.0,3,6,0.0003504753112792969,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,7,0.0003502368927001953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,8,0.0006568431854248047,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,9,0.0006449222564697266,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,10,0.0003552436828613281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,2,0.00035762786865234375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,3,0.00036525726318359375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,4,0.00034618377685546875,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,5,0.0004944801330566406,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,6,0.0003612041473388672,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,7,0.00035071372985839844,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,8,0.0003464221954345703,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,9,0.0003533363342285156,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,10,0.00034308433532714844,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,2,0.00038051605224609375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,3,0.0003685951232910156,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,4,0.0003514289855957031,0.0,94.4,1.0,1.0,1.0,1.0
10.0,5,5,0.0003399848937988281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,6,0.00033736228942871094,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,7,0.00035381317138671875,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,8,0.0003764629364013672,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,9,0.0007281303405761719,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,10,0.0006470680236816406,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,2,0.00035309791564941406,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,3,0.00034332275390625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,4,0.00034356117248535156,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,5,0.00034332275390625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,6,0.00035452842712402344,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,7,0.0003514289855957031,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,8,0.0006697177886962891,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,9,0.00038623809814453125,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,10,0.00040268898010253906,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,2,0.0004100799560546875,0.0,0.0,1.0,1.0,1.0,1.0
