Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
10.0,2,2,0.0018355846405029297,0.06640625,0.0,1.0,1.0,1.0,1.0
10.0,2,3,0.0027570724487304688,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,4,0.001605987548828125,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,5,0.0016372203826904297,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,6,0.0016210079193115234,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,7,0.0015997886657714844,0.0,85.1,1.0,1.0,1.0,1.0
10.0,2,8,0.0016634464263916016,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,9,0.005602359771728516,0.0,63.3,1.0,1.0,1.0,1.0
10.0,2,10,0.001615762710571289,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,2,0.0025496482849121094,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,3,0.0032875537872314453,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,4,0.0025463104248046875,0.0,77.7,1.0,1.0,1.0,1.0
10.0,3,5,0.008717060089111328,0.0,52.9,1.0,1.0,1.0,1.0
10.0,3,6,0.007564544677734375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,7,0.0024602413177490234,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,8,0.0024995803833007812,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,9,0.0024399757385253906,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,10,0.0024671554565429688,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,2,0.003094196319580078,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,3,0.0030732154846191406,0.0,75.2,1.0,1.0,1.0,1.0
10.0,4,4,0.002994537353515625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,5,0.003010988235473633,0.0,75.5,1.0,1.0,1.0,1.0
10.0,4,6,0.0030107498168945312,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,7,0.002921581268310547,0.0,75.9,1.0,1.0,1.0,1.0
10.0,4,8,0.005719184875488281,0.0,62.5,1.0,1.0,1.0,1.0
10.0,4,9,0.006066083908081055,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,10,0.0028269290924072266,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,2,0.0031232833862304688,0.0,75.6,1.0,1.0,1.0,1.0
10.0,5,3,0.0030939579010009766,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,4,0.0030527114868164062,0.0,76.0,1.0,1.0,1.0,1.0
10.0,5,5,0.0030007362365722656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,6,0.0029647350311279297,0.0,75.7,1.0,1.0,1.0,1.0
10.0,5,7,0.007407426834106445,0.0,57.0,1.0,1.0,1.0,1.0
10.0,5,8,0.0028460025787353516,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,9,0.0028896331787109375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,10,0.0028688907623291016,0.0,76.8,1.0,1.0,1.0,1.0
10.0,6,2,0.003093719482421875,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,3,0.0031270980834960938,0.0,74.8,1.0,1.0,1.0,1.0
10.0,6,4,0.0029747486114501953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,5,0.003010988235473633,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,6,0.002989053726196289,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,7,0.005444049835205078,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,8,0.0028464794158935547,0.0,0.0,1.0,1.0,1.0,1.0
10.0,6,9,0.0028574466705322266,0.0,77.0,1.0,1.0,1.0,1.0
10.0,6,10,0.0028853416442871094,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,2,0.003135204315185547,0.0,74.8,1.0,1.0,1.0,1.0
10.0,7,3,0.00315093994140625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,4,0.003002643585205078,0.0,75.9,1.0,1.0,1.0,1.0
10.0,7,5,0.0030393600463867188,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,6,0.0030248165130615234,0.0,75.7,1.0,1.0,1.0,1.0
10.0,7,7,0.002821207046508789,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,8,0.0029146671295166016,0.0,76.8,1.0,1.0,1.0,1.0
10.0,7,9,0.002869129180908203,0.0,0.0,1.0,1.0,1.0,1.0
10.0,7,10,0.0028884410858154297,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,2,0.003136157989501953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,3,0.005029916763305664,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,4,0.0030248165130615234,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,5,0.0029449462890625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,6,0.003014802932739258,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,7,0.002967357635498047,0.0,75.6,1.0,1.0,1.0,1.0
10.0,8,8,0.0028672218322753906,0.0,0.0,1.0,1.0,1.0,1.0
10.0,8,9,0.0028357505798339844,0.0,76.5,1.0,1.0,1.0,1.0
10.0,8,10,0.0029668807983398438,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,2,0.0031244754791259766,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,3,0.0033500194549560547,0.0,73.7,1.0,1.0,1.0,1.0
10.0,9,4,0.004686117172241211,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,5,0.0030243396759033203,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,6,0.002983570098876953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,7,0.0028638839721679688,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,8,0.002863168716430664,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,9,0.0029032230377197266,0.0,0.0,1.0,1.0,1.0,1.0
10.0,9,10,0.0028929710388183594,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,2,0.003103494644165039,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,3,0.0032024383544921875,0.0,75.0,1.0,1.0,1.0,1.0
10.0,10,4,0.0029900074005126953,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,5,0.0030066967010498047,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,6,0.003037691116333008,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,7,0.005993843078613281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,10,8,0.0030798912048339844,0.0,75.6,1.0,1.0,1.0,1.0
10.0,10,9,0.0029120445251464844,0.0,76.8,1.0,1.0,1.0,1.0
10.0,10,10,0.0028696060180664062,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,2,0.0015430450439453125,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,3,0.001569509506225586,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,4,0.0015549659729003906,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,5,0.001522064208984375,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,6,0.0020093917846679688,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,7,0.0015320777893066406,0.0,85.9,1.0,1.0,1.0,1.0
20.0,2,8,0.0015561580657958984,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,9,0.0015387535095214844,0.0,0.0,1.0,1.0,1.0,1.0
20.0,2,10,0.001580953598022461,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,2,0.002335786819458008,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,3,0.0036275386810302734,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,4,0.002360820770263672,0.0,79.4,1.0,1.0,1.0,1.0
20.0,3,5,0.002331256866455078,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,6,0.0024046897888183594,0.0,79.4,1.0,1.0,1.0,1.0
20.0,3,7,0.002402782440185547,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,8,0.002393007278442383,0.0,0.0,1.0,1.0,1.0,1.0
20.0,3,9,0.008373498916625977,0.0,53.6,1.0,1.0,1.0,1.0
20.0,3,10,0.0025720596313476562,0.0,0.0,1.0,1.0,1.0,1.0
20.0,4,2,0.0029535293579101562,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,3,0.002890348434448242,0.0,0.0,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
20.0,4,4,0.002898693084716797,0.0,76.2,0.9666666666666667,0.9708333333333333,0.9669841269841268,0.9666666666666667
